Date;Time;Lat;Lon;Dep;M;MT;Region
16/11/2021;23:59:21.867;7.74 S;122.70 E;314;3.8;-;Flores Sea (Status: confirmed)
16/11/2021;23:16:14.944;1.36 S;120.46 E;10;3.1;-;Sulawesi, Indonesia (Status: confirmed)
16/11/2021;22:27:35.606;5.72 S;102.95 E;10;3.4;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;21:50:18.463;1.71 N;127.42 E;105;3.2;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;21:08:52.858;0.99 S;120.27 E;10;2.6;-;Minahassa Peninsula, Sulawesi (Status: confirmed)
16/11/2021;19:39:44.667;0.21 N;96.63 E;16;3.7;-;Off West Coast of Northern Sumatra (Status: confirmed)
16/11/2021;19:04:53.302;7.81 S;118.68 E;10;2.7;-;Flores Sea (Status: confirmed)
16/11/2021;19:03:15.182;7.56 S;104.81 E;10;4.2;-;Southwest of Sumatra, Indonesia (Status: confirmed)
16/11/2021;19:00:42.019;0.87 N;126.53 E;13;2.6;-;Northern Molucca Sea (Status: confirmed)
16/11/2021;18:19:27.172;3.49 N;96.54 E;10;2.9;-;Northern Sumatra, Indonesia (Status: confirmed)
16/11/2021;18:10:51.093;4.56 N;94.86 E;10;2.9;-;Off West Coast of Northern Sumatra (Status: confirmed)
16/11/2021;17:30:56.601;2.36 N;128.28 E;136;2.9;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:25:00.654;0.98 N;127.54 E;10;2.1;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:13:02.913;1.94 N;127.03 E;94;3.3;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;17:11:17.435;2.26 S;102.31 E;211;4.6;-;Southern Sumatra, Indonesia (Status: confirmed)
16/11/2021;13:54:14.820;2.01 S;138.89 E;23;3.8;-;Irian Jaya, Indonesia (Status: confirmed)
16/11/2021;13:51:35.645;1.57 N;127.26 E;126;2.8;-;Halmahera, Indonesia (Status: confirmed)
16/11/2021;13:45:47.460;1.37 S;120.49 E;10;2.4;-;Sulawesi, Indonesia (Status: confirmed)
16/11/2021;13:01:53.750;9.49 S;117.59 E;25;3.0;-;Sumbawa Region, Indonesia (Status: confirmed)
16/11/2021;12:57:38.393;9.42 S;115.25 E;28;3.0;-;South of Bali, Indonesia (Status: confirmed)
16/11/2021;11:20:20.850;4.17 S;122.65 E;10;2.7;-;Sulawesi, Indonesia (Status: confirmed)
