Lat,Lon,Dep,M,Region
-7.74,122.7,314,3.8,Flores Sea 
-1.36,120.46,10,3.1,Sulawesi  
-5.72,102.95,10,3.4,Southern Sumatra  
1.71,127.42,105,3.2,Halmahera  
-0.99,120.27,10,2.6,Minahassa Peninsula Sulawesi 
0.21,96.63,16,3.7,Off West Coast of Northern Sumatra 
-7.81,118.68,10,2.7,Flores Sea 
-7.56,104.81,10,4.2,Southwest of Sumatra  
0.87,126.53,13,2.6,Northern Molucca Sea 
3.49,96.54,10,2.9,Northern Sumatra  
4.56,94.86,10,2.9,Off West Coast of Northern Sumatra 
2.36,128.28,136,2.9,Halmahera  
0.98,127.54,10,2.1,Halmahera  
1.94,127.03,94,3.3,Halmahera  
-2.26,102.31,211,4.6,Southern Sumatra  
-2.01,138.89,23,3.8,Irian Jaya  
1.57,127.26,126,2.8,Halmahera  
-1.37,120.49,10,2.4,Sulawesi  
-9.49,117.59,25,3.0,Sumbawa Region  
-9.42,115.25,28,3.0,South of Bali  
-4.17,122.65,10,2.7,Sulawesi  
-9.53,125.04,10,3.6,Timor Region 
-0.13,124.44,10,3.4,Southern Molucca Sea 
2.67,128.41,16,4.3,Halmahera  
-0.96,131.36,10,3.3,Irian Jaya Region  
-7.54,128.17,185,4.7,Banda Sea 
-8.54,123.82,86,3.4,Flores Region  
-9.17,110.71,10,4.0,South of Java  
-3.77,101.6,27,4.2,Southern Sumatra  
0.19,96.64,14,3.2,Off West Coast of Northern Sumatra 
-4.08,102.8,83,3.7,Southern Sumatra  
-7.85,110.0,82,3.6,Java  
-0.1,122.88,152,4.7,Minahassa Peninsula Sulawesi 
-9.5,117.77,27,3.7,Sumbawa Region  
-2.97,140.04,27,3.3,Near North Coast of Irian Jaya 
-3.42,135.43,23,4.2,Irian Jaya Region  
0.05,124.03,29,3.2,Minahassa Peninsula Sulawesi 
0.87,125.9,10,3.4,Northern Molucca Sea 
-7.24,106.17,88,2.9,Java  
-8.92,112.47,40,3.2,Java  
-6.3,130.28,164,4.9,Banda Sea 
-2.72,129.73,10,2.1,Seram  
2.13,128.47,33,3.3,Halmahera  
-9.03,111.7,10,3.0,South of Java  
-0.45,99.22,26,2.5,Southern Sumatra  
-0.13,124.03,88,3.7,Southern Molucca Sea 
-1.35,120.48,10,2.5,Sulawesi  
-0.05,126.86,41,3.0,Southern Molucca Sea 
4.9,126.61,10,3.9,Talaud Islands  
-1.13,99.69,11,3.9,Southern Sumatra  
1.26,127.08,75,3.0,Halmahera  
0.52,121.32,68,2.9,Minahassa Peninsula Sulawesi 
3.28,98.17,112,2.9,Northern Sumatra  
-8.7,123.99,95,3.4,Flores Region  
-1.3,120.5,10,2.4,Sulawesi  
-6.44,108.01,295,4.6,Java  
2.88,125.58,12,3.5,Talaud Islands  
-2.97,128.34,19,3.3,Ceram Sea 
-0.97,127.43,10,2.8,Halmahera  
-9.84,116.26,10,3.0,Sumbawa Region  
3.52,97.12,38,3.2,Northern Sumatra  
-8.64,117.45,154,2.2,Sumbawa Region  
0.41,127.5,10,2.8,Halmahera  
